MPID,min emittance
611219.0,1.5
632250.0,0.3
634659.0,1.4
754382.0,inf
23158.0,inf
614456.0,inf
169.0,1.1
10759.0,1.3
1883.0,1.0
2117.0,0.6
938.0,1.1
10653.0,0.6
2201.0,1.3
19717.0,1.0
406.0,0.1
21276.0,1.4
2293.0,0.1
23703.0,2.2
1410.0,0.7
995181.0,0.6
1190.0,0.1
883.0,0.6
1876.0,1.5
2693.0,1.3
19830.0,0.6
1006880.0,0.1
2469.0,0.1
1009540.0,1.9
2114.0,0.6
1975.0,0.6
10013.0,1.0
830.0,0.1
570354.0,1.1
22895.0,0.2
1102.0,0.6
13033.0,0.1
1986.0,0.1
10695.0,0.2
1009813.0,0.1
990448.0,2.1
370.0,0.2
22913.0,0.2
2175.0,1.4
32880.0,inf
571386.0,1.2
30373.0,1.6
13031.0,0.2
2853.0,0.1
22925.0,0.2
1008786.0,0.1
22914.0,0.1
23167.0,1.5
1009894.0,1.5
22875.0,1.4
2534.0,0.1
571102.0,0.9
149.0,0.8
1009792.0,2.0
2229.0,0.1
23231.0,0.2
568560.0,1.2
997618.0,0.1
22919.0,0.1
2600.0,0.8
684580.0,inf
24721.0,1.3
22922.0,0.2
20351.0,0.1
2667.0,1.4
1002124.0,1.8
10044.0,0.1
10680.0,0.2
2624.0,0.1
1479.0,0.1
610917.0,inf
611836.0,inf
8062.0,1.6
1009820.0,0.1
1779.0,0.4
2172.0,0.1
1519.0,0.4
1009639.0,1.5
1009490.0,0.2
2490.0,0.1
1000.0,0.5
634105.0,inf
1550.0,0.1
1002164.0,0.1
569639.0,1.3
1958.0,0.4
10760.0,0.1
10627.0,0.9
23197.0,1.1
1253.0,0.5
2691.0,0.2
286.0,0.5
252.0,0.2
13099.0,1.4
1415.0,0.4
1342.0,1.0
12103.0,0.4
1500.0,0.7
1820.0,0.5
2758.0,0.5
1009127.0,0.3
1672.0,0.4
2176.0,0.1
1087.0,0.6
632319.0,1.1
866291.0,0.1
1541.0,0.1
1009819.0,0.2
1315.0,0.1
634101.0,0.7
685145.0,1.1
1009129.0,0.2
422.0,0.2
1008223.0,0.1
22901.0,0.2
2472.0,0.8
1700.0,0.1
23302.0,0.2
13032.0,0.2
24084.0,1.5
1216.0,1.0
23268.0,0.2
2605.0,0.9
23870.0,1.8
22903.0,0.2
22898.0,0.2
614603.0,0.2
570891.0,0.2
23303.0,0.2
22851.0,0.2
22916.0,0.2
66.0,0.1
22867.0,0.1
22899.0,0.1
22906.0,0.2
571222.0,0.2
23251.0,0.2
13150.0,1.1
1330.0,0.1
1265.0,0.3
1639.0,0.1
23299.0,0.2
23289.0,0.2
23295.0,0.2
573697.0,0.2
23259.0,0.3
22865.0,0.2
22862.0,0.1
23193.0,0.2
684609.0,0.3
1784.0,0.1
11718.0,0.1
2064.0,0.2
8455.0,0.2
463.0,0.1
682.0,0.2
22905.0,0.3
8454.0,0.3
570752.0,0.8
1778.0,0.1
23907.0,1.0
1009009.0,0.4
1794.0,0.4
1138.0,0.5
850274.0,1.5
632291.0,1.2
23156.0,inf
696114.0,inf
634751.0,1.4
22027.0,1.0
5640.0,0.1
558110.0,inf
21425.0,1.2
962062.0,0.4
30390.0,0.1
22689.0,0.6
23229.0,0.8
961665.0,inf
10615.0,0.1
10616.0,0.1
5920.0,0.1
30033.0,0.1
961653.0,inf
631505.0,1.4
631550.0,0.9
961651.0,inf
569360.0,1.7
13305.0,0.1
962064.0,inf
2278.0,0.2
3161.0,0.1
2894.0,0.4
567313.0,inf
7575.0,0.1
568269.0,0.1
962065.0,inf
19.0,0.8
408.0,0.1
1008858.0,0.1
30459.0,0.2
11390.0,0.1
1018139.0,0.1
15687.0,0.1
30460.0,0.1
11836.0,0.1
20185.0,0.2
31455.0,1.3
1367.0,0.1
961723.0,inf
4025.0,0.2
3432.0,0.3
22786.0,0.8
961703.0,inf
21272.0,0.2
961697.0,inf
569779.0,0.2
4964.0,0.1
16313.0,0.1
4174.0,0.2
11520.0,0.2
7188.0,1.3
4510.0,0.3
3716.0,0.2
2076.0,0.1
755333.0,0.3
567636.0,1.2
10161.0,0.1
1018118.0,0.1
505297.0,1.3
11869.0,0.7
924128.0,0.9
567418.0,0.1
961774.0,inf
9124.0,0.1
961693.0,inf
282.0,inf
753746.0,0.4
2784.0,0.1
961687.0,inf
961682.0,inf
8177.0,0.2
924129.0,0.8
9437.0,1.1
1266.0,0.2
22880.0,0.3
1009733.0,0.9
985831.0,0.1
7988.0,0.1
961675.0,0.2
570213.0,0.1
961657.0,inf
1008785.0,1.4
961695.0,inf
571096.0,0.3
7173.0,0.2
1009730.0,0.8
31454.0,1.2
1023937.0,0.6
1776.0,1.6
962072.0,inf
34932.0,0.3
665.0,0.7
648.0,0.2
10623.0,0.1
961661.0,0.9
961659.0,0.6
27396.0,0.1
30847.0,0.5
10614.0,0.1
25571.0,inf
961660.0,inf
961678.0,0.2
1115.0,0.6
1008680.0,0.7
23162.0,0.8
961706.0,inf
1023936.0,0.8
961713.0,inf
31451.0,0.7
14.0,0.7
1100.0,0.3
1186.0,0.1
1018138.0,0.8
5967.0,0.7
1008677.0,1.5
999549.0,1.0
1023935.0,1.0
1023926.0,0.9
961649.0,inf
971787.0,0.4
961648.0,inf
1569.0,0.1
28013.0,0.8
1434.0,0.9
961698.0,inf
33723.0,0.1
985829.0,0.4
22877.0,0.4
22965.0,0.1
1394.0,0.2
961711.0,inf
9813.0,0.5
2482.0,0.2
7581.0,0.9
676290.0,0.6
12558.0,0.1
1018141.0,0.2
543096.0,0.9
1023934.0,0.9
24012.0,0.1
28797.0,0.1
569843.0,0.1
36111.0,0.1
762.0,0.7
1170.0,0.7
25547.0,inf
961685.0,inf
28306.0,0.1
617.0,0.8
1735.0,0.4
1023924.0,0.9
2630.0,0.3
971.0,0.3
10064.0,1.5
28233.0,0.1
11327.0,0.2
570964.0,0.7
961684.0,inf
35925.0,inf
961683.0,inf
29196.0,1.1
962066.0,0.1
20194.0,1.1
2352.0,0.2
441.0,0.2
962058.0,1.1
567677.0,0.7
8041.0,0.2
19886.0,0.9
8426.0,0.2
1006878.0,1.4
1747.0,0.2
1105.0,1.3
1022.0,0.2
961646.0,inf
22893.0,0.1
961663.0,inf
567259.0,0.8
22883.0,0.6
25433.0,inf
962057.0,inf
30457.0,0.1
961712.0,inf
2530.0,0.1
35308.0,1.4
22885.0,0.8
634859.0,1.3
2697.0,1.1
568690.0,0.2
241.0,0.2
30009.0,0.8
2286.0,0.1
1565.0,1.1
36582.0,0.2
38011.0,0.2
625051.0,0.2
1153.0,0.1
695850.0,0.1
22881.0,0.1
23205.0,0.1
9519.0,1.3
550893.0,1.2
30031.0,0.4
570418.0,0.1
36526.0,1.2
315.0,1.1
30068.0,0.9
643.0,1.2
30034.0,0.2
634755.0,0.7
35555.0,1.2
28240.0,1.0
1960.0,0.1
570922.0,0.3
20134.0,1.1
554355.0,0.6
36033.0,1.0
