MPID,Atomic number,Atomic weight,Density,Electronegativity,Lattice constant,Polarizability,Heat of formation,Heat of Fusion,Heat of Vaporization
611219,80,200.592,13.546,1.9,2.99,33.91,61.38,2.295,58.5
632250,1,1.008,0.0708,2.2,3.75,4.50711,217.998,0.117,0.904
634659,1,1.008,0.0708,2.2,3.75,4.50711,217.998,0.117,0.904
754382,2,4.002602,0.147,-1,3.57,1.38375,-1,-1,0.08
23158,2,4.002602,0.147,-1,3.57,1.38375,-1,-1,0.08
614456,2,4.002602,0.147,-1,3.57,1.38375,-1,-1,0.08
169,6,12.011,2.25,2.55,3.57,11.3,716.87,-1,-1
10759,33,75.8005,5.0565,2.28,5.01,34.45,299.6,21.015,193.85
1883,51,123.155,6.775,2.03,5.135,45.5,248.9,12.49,172.9
2117,36,86.466175,4.5185,1.02,3.8195,88.7,430.57,-1,194
938,42,100.115,5.7815,2.055,5.055,39,284.3,27.355,188.9
10653,45,107.61,4.39,1.525,5.265,117.6,180.3,13.555,96.9
2201,58,143.0855,8.07,2.175,4.655,37.95,211.2,5,118.75
19717,67,167.4,8.795,1.95,4.7,42.5,195.9,11.34,113.8
406,50,120.007,7.445,1.895,3.715,42,154.2,12.01,54.45
21276,49,119.63,6.71,2.19,7.71,33.2,236.185,3,94.15
2293,29.5,66.954522,6,2.05,6.625,48.45,255.25,9.315,140.35
23703,2,3.974,0.3024,1.59,3.62,84.309805,188.649,1.5035,74.452
1410,36.5,88.2535,4.679,2.13,3.8145,85.2,381.42,-1,145
995181,41,95.67,6.3165,1.985,5.74,46.5,336.6,21.935,312
1190,32,72.1755,5.9615,2.1,3.51,33.785,178.8,6.255,87.25
883,37,89.468665,4.8015,2.135,3.8095,81.7,386.52,-1,150
1876,33,75.385,4.69,2.27,8.145,36.2,289.185,4.15,153.25
2693,42,98.8405,6.05,2.255,5.09,40.95,264.2,6.15,177.85
19830,37.5,90.633,4.934,2.14,3.7995,78.7,394.42,-1,158
1006880,44,109.8952,6.0435,1.97,6.74,34.25,387.3,17.3,338.25
2469,32,72.237,5.36,2.135,6.725,32.7,194.485,3.67,34.8
1009540,41,101.1205,12.41,2.375,3.155,34.15,751.935,15.35,368.5
2114,23,51.45642,2.639,2.13,3.8445,84.7,448.57,5.25,183
1975,38,91.47061,5.0645,2.145,3.7895,75.7,352.32,-1,115.5
10013,33,75.385,4.69,2.27,8.145,36.2,289.185,4.15,153.25
830,19,41.865,3.359,2.425,4.2745,28.7,372.2,2.295,134.65
570354,32,71.725,6.04,2.43,5.14,33.75,224.625,11.79,167.08
22895,41,95.225235,6.945,2.28,5.665,39.7,222.0785,14.265,173.275
1102,39,94.4869,5.3242,2.02,3.7745,72.2,450.02,-1,206.5
13033,32,75.9525,3.989,1.705,3.83,54.6,171.85,13.555,90.8
1986,19,40.6895,4.141,2.545,4.745,21.985,189.8145,3.14,56.9
10695,23,48.72,4.6015,2.115,6.565,29.035,203.785,4.255,62.65
1009813,32,73.3975,4.82,1.93,5.625,45.15,375.6,28.835,339.5
990448,6,12.011,2.25,2.55,3.57,11.3,716.87,-1,-1
370,32,72.237,5.36,2.135,6.725,32.7,194.485,3.67,34.8
22913,32,71.725,6.04,2.43,5.14,33.75,224.625,11.79,167.08
2175,45,111.6892016,6.479,2.89,1.23,26.87,130.7675,2.41,84.47
32880,32,71.725,6.04,2.43,5.14,33.75,224.625,11.79,167.08
571386,23,49.498,5.26,2.53,4.925,30.55,229.351,9.71,162.505
30373,58,141.2171845,10.416,1.61,4.835,177.9,224.55,7.44,207.9
13031,23,51.638,3.264,1.93,3.785,50.05,187.15,7.215,95.75
2853,19,41.865,3.359,2.425,4.2745,28.7,372.2,2.295,134.65
22925,50,117.386335,7.715,2.295,5.905,43.95,195.8285,13.735,148.025
1008786,32,75.9525,3.989,1.705,3.83,54.6,171.85,13.555,90.8
22914,23,49.498,5.26,2.53,4.925,30.55,229.351,9.71,162.505
23167,49,119.915,6.705,2.48,4.85,32.3,151.751,5.36,91.405
1009894,23,51.6175,4.378,1.94,3.4,61.65,663.435,9.1,283
22875,58,142.142,7.485,2.38,5.065,35.5,147.025,7.44,95.98
2534,32,72.3222975,5.82,1.995,4.32,40,287.23,2.295,151.35
571102,67,165.642235,8.39,2.23,5.59,41.45,144.4785,9.915,102.175
149,14,28.085,2.33,1.9,5.43,37.3,450,50.6,383
